Reservoir,Date,month,day,year,MonthYear,DateEXC,temperature,Depth (ft),Predicted,Residual,15.5th
BHR,19890502,5,2,1989,051989,5/2/89,18.7,0,18.37,0.33,21.14485
BHR,19890502,5,2,1989,051989,5/2/89,18.9,5,18.37,0.53,21.34485
BHR,19890509,5,9,1989,051989,5/9/89,15.7,0,19.64,-3.94,16.87715
BHR,19890509,5,9,1989,051989,5/9/89,15.6,5,19.64,-4.04,16.77715
BHR,19890516,5,16,1989,051989,5/16/89,16.4,0,20.91,-4.51,16.30945
BHR,19890516,5,16,1989,051989,5/16/89,14.7,5,20.91,-6.21,14.60945
BHR,19890523,5,23,1989,051989,5/23/89,19.9,0,22.17,-2.27,18.54175
BHR,19890523,5,23,1989,051989,5/23/89,20,5,22.17,-2.17,18.64175
BHR,19890530,5,30,1989,051989,5/30/89,23.3,0,23.44,-0.14,20.67405
BHR,19890530,5,30,1989,051989,5/30/89,23.4,5,23.44,-0.04,20.77405
BHR,19900501,5,1,1990,051990,5/1/90,21,0,18.19,2.81,23.62595
BHR,19900501,5,1,1990,051990,5/1/90,20.9,5,18.19,2.71,23.52595
BHR,19900508,5,8,1990,051990,5/8/90,18.4,0,19.46,-1.06,19.75825
BHR,19900508,5,8,1990,051990,5/8/90,18.4,5,19.46,-1.06,19.75825
BHR,19900515,5,15,1990,051990,5/15/90,20,0,20.72,-0.72,20.09055
BHR,19900515,5,15,1990,051990,5/15/90,19.8,5,20.72,-0.92,19.89055
BHR,19900522,5,22,1990,051990,5/22/90,20.2,0,21.99,-1.79,19.02285
BHR,19900522,5,22,1990,051990,5/22/90,20.5,5,21.99,-1.49,19.32285
BHR,19900529,5,29,1990,051990,5/29/90,21.5,0,23.26,-1.76,19.05515
BHR,19900529,5,29,1990,051990,5/29/90,21.8,5,23.26,-1.46,19.35515
BHR,19910507,5,7,1991,051991,5/7/91,20.8,0,19.28,1.52,22.33935
BHR,19910507,5,7,1991,051991,5/7/91,20.5,5,19.28,1.22,22.03935
BHR,19910521,5,21,1991,051991,5/21/91,24.1,0,21.81,2.29,23.10395
